,URL,Nom,Genre,Tete,Coeur,Fond
0,https://www.olfastory.com/parfum/invictus-victory-elixir-de-paco-rabanne,invictus-victory-elixir-de-paco-rabanne,man,oliban,"vanille, ambre",feve-tonka
1,https://www.olfastory.com/parfum/la-petite-robe-noire-rose-cherry,la-petite-robe-noire-rose-cherry,woman,"fleur-de-cerisier, the","rose, cerise","muscs-blancs, vanille"
2,https://www.olfastory.com/parfum/aqua-allegoria-harvest-rosa-rossa,aqua-allegoria-harvest-rosa-rossa,woman,eau-de-rose,litchi,cassis
3,https://www.olfastory.com/parfum/aqua-allegoria-harvest-nerolia-vetiver,aqua-allegoria-harvest-nerolia-vetiver,mixed,neroli,vetiver,miel
4,https://www.olfastory.com/parfum/aqua-allegoria-harvest-madarine-basilic,aqua-allegoria-harvest-madarine-basilic,woman,mandarine,"basilic, the",notes-boisees
5,https://www.olfastory.com/parfum/aqua-allegoria-forte-nerolia-vetiver,aqua-allegoria-forte-nerolia-vetiver,woman,"bergamote, petitgrain, figuier","neroli, figue, rose","vetiver, feve-tonka, cedre"
6,https://www.olfastory.com/parfum/good-girl-blush,good-girl-blush,woman,"bergamote, mandarine","pivoine, eau-de-rose, ylang-ylang","vanille, feve-tonka"
7,https://www.olfastory.com/parfum/1-million-royal,1-million-royal,man,"tangerine, bergamote, cardamome","lavande, feuille-de-violette, sauge-sclaree","benjoin, cedre, patchouli"
8,https://www.olfastory.com/parfum/y-eau-de-parfum-intense,y-eau-de-parfum-intense,man,"gingembre, bergamote, baies-de-genevrier","sauge-sclaree, geranium, lavande","vetiver, patchouli, cedre"
9,https://www.olfastory.com/parfum/eau-rochas-soleil-citron,eau-rochas-soleil-citron,woman,"citron, neroli, figuier","notes-fleuries, fleur-doranger, rose","notes-boisees, muscs-blancs, ambre"
10,https://www.olfastory.com/parfum/lady-million-royal,lady-million-royal,woman,grenade,fleurs-blanches,notes-boisees
11,https://www.olfastory.com/parfum/her-forever-de-narcisso-rodriguez,her-forever-de-narcisso-rodriguez,woman,"frangipanier, gardenia, jasmin","tubereuse, osmanthus, fleur-doranger","patchouli, musc"
12,https://www.olfastory.com/parfum/gentleman-society-de-givenchy,gentleman-society-de-givenchy,man,"cardamome, sauge-sclaree","narcisse, vetiver","vanille, palo-santo, cedre"
13,https://www.olfastory.com/parfum/kenzo-homme-eau-de-toilette-marine,kenzo-homme-eau-de-toilette-marine,man,"note-marine, calypsone, noix-de-muscade","pin, patchouli","santal, cedre"
14,https://www.olfastory.com/parfum/angel-elixir-de-mugler,angel-elixir-de-mugler,woman,poivre-rose,"jasmin, santal, ylang-ylang, fleur-doranger",vanille
15,https://www.olfastory.com/parfum/la-vie-est-belle-iris-absolu-de-lancome,la-vie-est-belle-iris-absolu-de-lancome,woman,"figue, cassis, fleur-doranger","fleur-doranger, jasmin","iris, patchouli"
16,https://www.olfastory.com/parfum/boss-alive-parfum,boss-alive-parfum,woman,framboise,vetiver,benjoin
17,https://www.olfastory.com/parfum/un-jardin-de-cythere,un-jardin-de-cythere,unknown,agrumes,"pistache, olivier",note-verte
18,https://www.olfastory.com/parfum/shalimar-millesime-tonka-guerlain,shalimar-millesime-tonka-guerlain,woman,"amande-amere, bergamote","iris, rose, jasmin","feve-tonka, vanille"
19,https://www.olfastory.com/parfum/boss-bottled-parfum-dhugo-boss,boss-bottled-parfum-dhugo-boss,man,"mandarine, encens","iris, figuier","cedre, cuir"
20,https://www.olfastory.com/parfum/la-petite-robe-noire-intense-0,la-petite-robe-noire-intense-0,woman,"bergamote, cassis, barbe-papa, myrtille","rose, fleur-doranger, jasmin","vanille, patchouli, muscs-blancs, santal"
21,https://www.olfastory.com/parfum/aqua-allegoria-forte-rossa-rossa-guerlain,aqua-allegoria-forte-rossa-rossa-guerlain,woman,"eau-de-rose, cassis","rose, poire, peche","santal, vanille, patchouli, benjoin, muscs-blancs"
22,https://www.olfastory.com/parfum/show-me-love-escada,show-me-love-escada,woman,myrtille,jasmin,macaron
23,https://www.olfastory.com/parfum/coach-open-road,coach-open-road,man,"citron, pomme","poivre, sauge-sclaree, lavande","vetiver, cedre, patchouli"
24,https://www.olfastory.com/parfum/chloe-naturelle-rose-intense,chloe-naturelle-rose-intense,woman,"bergamote, neroli","bois-de-chene, rose","santal, cedre"
25,https://www.olfastory.com/parfum/ralphs-club-parfum,ralphs-club-parfum,man,"lavande, sauge-sclaree",cedre,vetiver
26,https://www.olfastory.com/parfum/gucci-bloom-eau-de-toilette,gucci-bloom-eau-de-toilette,woman,"neroli, bergamote, mandarine, citron","tubereuse, jasmin, fleur-doranger","musc, santal"
27,https://www.olfastory.com/parfum/mugler-alien,mugler-alien,woman,"noix-de-coco, bergamote",jasmin,"vanille, benjoin, bois-de-cachemire"
28,https://www.olfastory.com/parfum/oriental-dream,oriental-dream,mixed,"ylang-ylang, bois-de-cachemire, notes-orientales","girofle, benjoin, encens","santal, ambre, oud"
29,https://www.olfastory.com/parfum/frame-eau-de-parfum,frame-eau-de-parfum,woman,"mangue, bergamote","jasmin, oliban","santal, vanille"
30,https://www.olfastory.com/parfum/nina-fleur,nina-fleur,woman,"citron, pomme","fleur-doranger, neroli","muscs-blancs, cedre"
31,https://www.olfastory.com/parfum/flower-kenzo-labsolue,flower-kenzo-labsolue,woman,safran,"rose, fleur-doranger","vanille, muscs-blancs"
32,https://www.olfastory.com/parfum/scandal-pour-homme-le-parfum,scandal-pour-homme-le-parfum,man,geranium,feve-tonka,santal
33,https://www.olfastory.com/parfum/scandal-le-parfum,scandal-le-parfum,woman,jasmin,"caramel, sel",vanille
34,https://www.olfastory.com/parfum/dior-jadore-parfum-deau,dior-jadore-parfum-deau,woman,jasmin,"rose, chevrefeuille","magnolia, neroli"
35,https://www.olfastory.com/parfum/code-parfum,code-parfum,man,bergamote,"iris, sauge-sclaree, aldehydes","feve-tonka, cedre"
36,https://www.olfastory.com/parfum/dolce-amalfi,dolce-amalfi,mixed,citron,patchouli,cedre
37,https://www.olfastory.com/parfum/light-blue-femme-italian-love,light-blue-femme-italian-love,woman,"citron, pomme","ambrette, jasmin, rose","santal, muscs-blancs, cedre, ambre"
38,https://www.olfastory.com/parfum/leau-dissey-summer-edition,leau-dissey-summer-edition,woman,"note-marine, neroli, bergamote","frangipanier, rose, fleur-doranger","noix-de-coco, bois, musc"
39,https://www.olfastory.com/parfum/mon-paris-lumiere,mon-paris-lumiere,woman,"lotus, citron","rose, datura, jasmin","muscs-blancs, patchouli"
40,https://www.olfastory.com/parfum/leau-dissey-pour-homme-summer-edition,leau-dissey-pour-homme-summer-edition,man,"note-marine, citron, bergamote","eucalyptus, basilic, jasmin","pin, cypres, cedre"
41,https://www.olfastory.com/parfum/light-blue-homme-italian-love,light-blue-homme-italian-love,man,"pamplemousse, bergamote","ozone, feuille-de-violette, note-verte, bois-de-cachemire","vetiver, musc, patchouli, bois-de-gaiac"
42,https://www.olfastory.com/parfum/idole-nectar,idole-nectar,woman,rose,"caramel, popcorn",vanille
43,https://www.olfastory.com/parfum/drop-dissey-eau-de-parfum-fraiche,drop-dissey-eau-de-parfum-fraiche,woman,notes-de-pluie,"lilas, note-marine, rose","notes-boisees, ambroxan, cedre"
44,https://www.olfastory.com/parfum/d-diesel,d-diesel,man,gingembre,lavande,vanille
45,https://www.olfastory.com/parfum/infusion-dylang,infusion-dylang,mixed,"bergamote, cardamome",ylang-ylang,santal
46,https://www.olfastory.com/parfum/infusion-vanille,infusion-vanille,mixed,"bergamote, vanille, notes-fumees","neroli, angelique",vanille
47,https://www.olfastory.com/parfum/good-fortune,good-fortune,woman,"gentiane, fenouil",jasmin,vanille
48,https://www.olfastory.com/parfum/eau-de-basilic-pourpre,eau-de-basilic-pourpre,mixed,bergamote,"basilic, geranium","epices, patchouli"
49,https://www.olfastory.com/parfum/quatre-iconic,quatre-iconic,unknown,"poivre-rose, mandarine, gingembre","baume-perou, tubereuse, cassis","patchouli, ambre, vetiver"
50,https://www.olfastory.com/parfum/most-wanted-parfum,most-wanted-parfum,man,gingembre,notes-boisees,vanille
51,https://www.olfastory.com/parfum/hugo-reflective,hugo-reflective,man,agrumes,cypres,vetiver
52,https://www.olfastory.com/parfum/habit-rouge-linstinct,habit-rouge-linstinct,man,"note-verte, bergamote, pamplemousse","cannabis, mate, rose","cuir, patchouli, vanille"
53,https://www.olfastory.com/parfum/pour-un-homme-de-caron-le-soir,pour-un-homme-de-caron-le-soir,man,"lavande, cypres","iris, feuille-de-violette","bois-de-chene, ambroxan, feve-tonka, vanille"
54,https://www.olfastory.com/parfum/pour-un-homme-de-caron-le-matin,pour-un-homme-de-caron-le-matin,man,"gingembre, bergamote, petitgrain","lavande, geranium","patchouli, bois-de-gaiac, mousse-de-chene"
55,https://www.olfastory.com/parfum/terre-dhermes-eau-givree,terre-dhermes-eau-givree,man,cedrat,,"notes-minerales, notes-boisees"
56,https://www.olfastory.com/parfum/invictus-platinum,invictus-platinum,man,"absinthe, pamplemousse","menthe, lavande","cypres, patchouli"
57,https://www.olfastory.com/parfum/my-way-floral,my-way-floral,woman,"bigarade, fleur-doranger, mandarine","neroli, tubereuse","muscs-blancs, vanille"
58,https://www.olfastory.com/parfum/ck1-palace,ck1-palace,mixed,"mandarine, citron, pois-de-senteur","feuille-de-violette, prune, pomme","mousse-de-chene, santal, bois-de-cachemire"
59,https://www.olfastory.com/parfum/boss-bottled-marine,boss-bottled-marine,man,"pomme, menthe","cannelle, sauge-sclaree","bois-de-cachemire, patchouli"
60,https://www.olfastory.com/parfum/her-eau-de-toilette,her-eau-de-toilette,woman,"poire, fraise, cassis, poivre-rose","chevrefeuille, pivoine, rose, muguet","musc, cedre"
61,https://www.olfastory.com/parfum/coffret-explorer-ultra-blue,coffret-explorer-ultra-blue,man,agrumes,note-marine,bois-ambres
62,https://www.olfastory.com/parfum/narciso-cristal,narciso-cristal,woman,"bergamote, freesia, fleur-doranger","rose, jasmin, musc","cedre, cashmeran, benjoin"
63,https://www.olfastory.com/parfum/lair-du-temps-paris-chez-antoinette-poisson-2022,lair-du-temps-paris-chez-antoinette-poisson-2022,woman,"bergamote, petitgrain","fleur-doranger, miel","feve-tonka, muscs-blancs"
64,https://www.olfastory.com/parfum/gentleman-reserve-privee,gentleman-reserve-privee,man,bergamote,"iris, chataigne","ambre, notes-boisees"
65,https://www.olfastory.com/parfum/parole-deau,parole-deau,mixed,pin,citron,eucalyptus
66,https://www.olfastory.com/parfum/flora-gorgeous-gardenia,flora-gorgeous-gardenia,woman,poire,"gardenia, jasmin",patchouli
67,https://www.olfastory.com/parfum/lhomme-eau-de-parfum,lhomme-eau-de-parfum,man,"bigarade, bergamote","geranium, lavande","cognac, chene, cedre, vetiver"
68,https://www.olfastory.com/parfum/young-man-french-surfeur,young-man-french-surfeur,man,"bergamote, pamplemousse, citron","badiane, pomme, cardamome","ambre, santal, musc"
69,https://www.olfastory.com/parfum/ikks-little-woman-french-surfeuse,ikks-little-woman-french-surfeuse,woman,"mandarine, orange, bourgeon-de-cassis","rose, fleur-doranger, poivre-rose","vanille, cedre, musc"
70,https://www.olfastory.com/parfum/kiss-good-vibes,kiss-good-vibes,woman,"bergamote, pamplemousse, fraise","notes-fleuries, fleurs-blanches, violette","cedre, ambre, musc"
71,https://www.olfastory.com/parfum/good-girl,good-girl,woman,"amande, cafe, bergamote, citron","tubereuse, jasmin, fleur-doranger, iris, rose","feve-tonka, cacao, vanille, praline, santal, musc, bois-de-cachemire, ambre, cannelle, patchouli, cedre"
72,https://www.olfastory.com/parfum/us-leau-all,us-leau-all,mixed,bergamote,"lavande, neroli","bois-de-cachemire, santal, musc"
73,https://www.olfastory.com/parfum/uomo-coral-fantasy-born-roma,uomo-coral-fantasy-born-roma,man,"pomme, cardamome, bergamote","geranium, lavande, sauge-sclaree","tabac, vetiver, patchouli"
74,https://www.olfastory.com/parfum/donna-born-roma-coral-fantasy,donna-born-roma-coral-fantasy,woman,"kiwi, orange","rose, jasmin, ambrette","muscs-blancs, cedre"
75,https://www.olfastory.com/parfum/costa-azzurra-parfum,costa-azzurra-parfum,mixed,citron,"cypres, chene","ciste, ambre"
76,https://www.olfastory.com/parfum/1-million-elixir,1-million-elixir,man,"pomme, davana","rose, osmanthus, cedre","vanille, feve-tonka, patchouli"
77,https://www.olfastory.com/parfum/him-bleu-noir-parfum,him-bleu-noir-parfum,man,"bergamote, mandarine, cypres",musc,"feve-tonka, vetiver, cuir, santal"
78,https://www.olfastory.com/parfum/l1212-rose-eau-fraiche,l1212-rose-eau-fraiche,woman,"pamplemousse, orange","cassis, poivre-rose, ozone","cedre, cannelle"
79,https://www.olfastory.com/parfum/l1212-blanc-eau-fraiche,l1212-blanc-eau-fraiche,man,"pamplemousse, gingembre, citron","pomme, , lavande","vetiver, ambroxan, cedre"
80,https://www.olfastory.com/parfum/la-belle-fleur-terrible,la-belle-fleur-terrible,woman,nenuphar,iris,vanille
